population,cohort,site,sex,id,group,Rx(ppm),age_initiation(mo),status,dead,age(days),l,m,n,o
UM-HET3,C2020,TJL,f,JL21048,AKG_18,20000,18,dead,True,754,,,,
UM-HET3,C2020,TJL,f,JL21049,AKG_18,20000,18,dead,True,842,,,,
UM-HET3,C2020,TJL,f,JL21050,AKG_18,20000,18,dead,True,998,,,,
UM-HET3,C2020,TJL,f,JL21051,AKG_18,20000,18,dead,True,771,,,,
UM-HET3,C2020,TJL,f,JL21134,AKG_18,20000,18,dead,True,1035,,,,
UM-HET3,C2020,TJL,f,JL21135,AKG_18,20000,18,dead,True,819,,,,
UM-HET3,C2020,TJL,f,JL21136,AKG_18,20000,18,dead,True,1009,,,,
UM-HET3,C2020,TJL,f,JL21137,AKG_18,20000,18,dead,True,694,,,,
UM-HET3,C2020,TJL,f,JL21221,AKG_18,20000,18,dead,True,987,,,,
UM-HET3,C2020,TJL,f,JL21222,AKG_18,20000,18,dead,True,1058,,,,
UM-HET3,C2020,TJL,f,JL21223,AKG_18,20000,18,dead,True,903,,,,
UM-HET3,C2020,TJL,f,JL21224,AKG_18,20000,18,dead,True,940,,,,
UM-HET3,C2020,TJL,f,JL21264,AKG_18,20000,18,dead,True,872,,,,
UM-HET3,C2020,TJL,f,JL21265,AKG_18,20000,18,dead,True,726,,,,
UM-HET3,C2020,TJL,f,JL21266,AKG_18,20000,18,dead,True,935,,,,
UM-HET3,C2020,TJL,f,JL21267,AKG_18,20000,18,dead,True,721,,,,
UM-HET3,C2020,TJL,f,JL21395,AKG_18,20000,18,dead,True,1270,,,,
UM-HET3,C2020,TJL,f,JL21396,AKG_18,20000,18,dead,True,970,,,,
UM-HET3,C2020,TJL,f,JL21397,AKG_18,20000,18,dead,True,856,,,,
UM-HET3,C2020,TJL,f,JL21398,AKG_18,20000,18,dead,True,950,,,,
UM-HET3,C2020,TJL,f,JL21475,AKG_18,20000,18,dead,True,722,,,,
UM-HET3,C2020,TJL,f,JL21476,AKG_18,20000,18,dead,True,953,,,,
UM-HET3,C2020,TJL,f,JL21477,AKG_18,20000,18,dead,True,1044,,,,
UM-HET3,C2020,TJL,f,JL21478,AKG_18,20000,18,dead,True,861,,,,
UM-HET3,C2020,TJL,f,JL21519,AKG_18,20000,18,dead,True,900,,,,
UM-HET3,C2020,TJL,f,JL21520,AKG_18,20000,18,dead,True,1173,,,,
UM-HET3,C2020,TJL,f,JL21521,AKG_18,20000,18,dead,True,1023,,,,
UM-HET3,C2020,TJL,f,JL21522,AKG_18,20000,18,dead,True,1182,,,,
UM-HET3,C2020,TJL,f,JL21616,AKG_18,20000,18,dead,True,836,,,,
